gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
GSTM2,2.643288367827193,4.647571942110377,-2.0042835742831846,-12.5914588448263,43.614835533211945,4.440892098500626e-16,1.6990409079653546e-12,Down,Down,Down
APOD,3.136953048979104,7.553625161319227,-4.416672112340123,-12.909042588901313,43.614835533211945,2.220446049250313e-16,1.6990409079653546e-12,Down,Down,Down
CFD,4.054061897948759,8.277820764554553,-4.223758866605794,-12.430774588393922,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,Down
NDRG2,3.615584535294425,5.755167739101682,-2.1395832038072573,-12.345795283421445,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,Down
CACHD1,1.3679973371492575,2.8662732925512833,-1.4982759554020257,-12.441511865864854,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,Down,Down,ns
PHYHD1,2.051472544380804,3.351511019429912,-1.3000384750491079,-12.295385841010361,43.614835533211945,8.881784197001252e-16,1.887823231072616e-12,Down,Down,ns
AMY2B,1.1447093435119988,3.2914499348178756,-2.1467405913058766,-12.236972714112753,43.614835533211945,1.1102230246251565e-15,2.022667747577803e-12,Down,Down,Down
BBS2,2.8355495295417543,4.087865499493214,-1.2523159699514594,-11.947092228310835,43.614835533211945,2.4424906541753444e-15,3.893635414087271e-12,Down,Down,ns
FAHD2B,1.4704452908832513,2.598351366781774,-1.1279060758985227,-11.82763717127035,43.614835533211945,3.3306690738754696e-15,4.7195580776815405e-12,Down,Down,ns
GFRA1,0.2226089456444723,2.7845723524424995,-2.5619634067980273,-11.669700372826016,43.614835533211945,5.329070518200751e-15,6.7961636318614184e-12,Down,Down,Down
BOC,2.367371660024142,4.079493717332289,-1.712122057308147,-11.567054704262793,43.614835533211945,7.105427357601002e-15,7.787270828174542e-12,Down,Down,Down
NR3C2,0.435154887619354,1.8754771901547596,-1.4403223025354055,-11.551433435753964,43.614835533211945,7.327471962526033e-15,7.787270828174542e-12,Down,Down,ns
KYNU,3.5420596417855426,1.371418819337966,2.1706408224475764,11.449701136297023,43.614835533211945,9.769962616701378e-15,9.584333326984051e-12,Up,Up,Up
HLF,0.7079464110476441,2.835923788097927,-2.127977377050283,-11.426696657917942,43.614835533211945,1.0658141036401503e-14,9.708805188373454e-12,Down,Down,Down
NFIX,3.542207513257825,5.5870145308389745,-2.0448070175811495,-11.3481985412474,43.614835533211945,1.3322676295501878e-14,1.1326939386435697e-11,Down,Down,Down
PNPLA7,0.7570843556087957,2.752290847907672,-1.9952064922988764,-11.213157809815822,43.614835533211945,1.9761969838327786e-14,1.575152508426214e-11,Down,Down,Down
DEPTOR,1.226661666689827,2.414088159927169,-1.187426493237342,-11.186077869776115,43.614835533211945,2.1316282072803006e-14,1.599097325143863e-11,Down,Down,ns
CBX7,1.9859350352388103,3.8946037083483813,-1.908668673109571,-11.144008247259615,43.614835533211945,2.398081733190338e-14,1.6692331727378923e-11,Down,Down,Down
CILP,0.646508588853121,4.3708540171301395,-3.7243454282770188,-11.132792019223508,43.614835533211945,2.4868995751603507e-14,1.6692331727378923e-11,Down,Down,Down
ARSI,2.88218235078251,0.6670478699580501,2.2151344808244597,11.017984309948623,43.614835533211945,3.4861002973229915e-14,2.2229118545880056e-11,Up,Up,Up
PI16,0.695790640833691,5.3489081728107495,-4.653117531977059,-10.865358051297667,43.614835533211945,5.440092820663267e-14,3.153522897359938e-11,Down,Down,Down
ULBP2,2.6644312288488656,0.6029146414141223,2.061516587434743,10.776030376506798,43.614835533211945,7.083222897108499e-14,3.870037623698863e-11,Up,Up,Up
TACR1,0.4065662084861259,1.9714648744658287,-1.5648986659797028,-10.767337070221263,43.614835533211945,7.283063041541027e-14,3.870037623698863e-11,Down,Down,Down
CDON,1.0443508598142086,2.9995994883696233,-1.9552486285554147,-10.752965494484402,43.614835533211945,7.593925488436071e-14,3.8738132701610086e-11,Down,Down,Down
IL11RA,2.235970356321292,4.246410132685148,-2.010439776363856,-10.686316107285279,43.614835533211945,9.259260025373806e-14,4.5416670424458516e-11,Down,Down,Down
KANTR,1.0063190297267341,2.1678153530488644,-1.1614963233221303,-10.408801127028497,43.614835533211945,2.1271873151818e-13,1.0047414752042035e-10,Down,Down,ns
FAXDC2,1.541078894703444,3.7531972942481353,-2.2121183995446914,-10.365609753362298,43.614835533211945,2.4225066397320916e-13,1.0789886225871936e-10,Down,Down,Down
L3MBTL4,0.6220399982025954,1.729694923078839,-1.1076549248762437,-10.361265162833973,43.614835533211945,2.453592884421596e-13,1.0789886225871936e-10,Down,Down,ns
SCUBE2,1.1608881482924291,2.662765022327877,-1.501876874035448,-10.342450580216026,43.614835533211945,2.5979218776228663e-13,1.1043765901774805e-10,Down,Down,Down
LIFR,0.9856608159649894,2.642270619781621,-1.6566098038166315,-10.324918841696697,43.614835533211945,2.7400304247748863e-13,1.1272131615211008e-10,Down,Down,Down
LINC01605,2.2801411657828505,0.728908103049225,1.5512330627336255,10.242152873081343,43.614835533211945,3.5216274341109965e-13,1.403478583350548e-10,Up,Up,Up
N4BP2L1,1.7055653429466984,2.9421083422539125,-1.2365429993072141,-10.229957146982285,43.614835533211945,3.6548541970660153e-13,1.4124350174297845e-10,Down,Down,ns
SYNE2,3.0985503998344854,4.668517650037158,-1.5699672502026725,-10.188046833322225,43.614835533211945,4.150013666048835e-13,1.5121464080891655e-10,Down,Down,Down
PAN2,2.3431676739494525,3.630427183408387,-1.2872595094589347,-10.156131641883608,43.614835533211945,4.571898415406395e-13,1.6195950136577153e-10,Down,Down,ns
FBLN5,3.0966947132435125,4.844902178566142,-1.7482074653226292,-10.037832894131007,43.614835533211945,6.561418075534675e-13,2.2615612085755058e-10,Down,Down,Down
FGFR2,1.6962925398352,3.923176110025959,-2.2268835701907586,-9.968774328673998,43.614835533211945,8.109068971862143e-13,2.5896215172238615e-10,Down,Down,Down
TGFBR3,1.900085442569399,4.01112870549449,-2.111043262925091,-9.96826072277389,43.614835533211945,8.122391648157645e-13,2.5896215172238615e-10,Down,Down,Down
CYP4F12,0.8084662351593709,3.7864867685507506,-2.97802053339138,-9.972160056930472,43.614835533211945,8.024692021990631e-13,2.5896215172238615e-10,Down,Down,Down
CTSF,3.296165637655828,4.627900379390532,-1.3317347417347039,-9.84438917250177,43.614835533211945,1.1890488593735427e-12,3.6985219764855583e-10,Down,Down,ns
MYRIP,0.3083920125230848,1.3122836663225694,-1.0038916537994846,-9.814822015152934,43.614835533211945,1.3027356970951587e-12,3.863671708152223e-10,Down,Down,ns
TMEM116,1.1995471221848715,2.5926087632728994,-1.3930616410880279,-9.81645954289613,43.614835533211945,1.2962964035523328e-12,3.863671708152223e-10,Down,Down,ns
CYP4X1,0.6785804106318786,1.9720804458737309,-1.2935000352418524,-9.763652634352653,43.614835533211945,1.5261125696497402e-12,4.2427822957063927e-10,Down,Down,ns
CX3CL1,1.5425391025126856,3.4103638859691285,-1.867824783456443,-9.758397553281473,43.614835533211945,1.5512036100062687e-12,4.2427822957063927e-10,Down,Down,Down
NOP53,6.650077898282859,7.927163476557858,-1.277085578274999,-9.774344636287434,43.614835533211945,1.4763745781465332e-12,4.2427822957063927e-10,Down,Down,ns
ZNF704,0.8400714824997645,2.147438869412955,-1.3073673869131905,-9.693580155942712,43.614835533211945,1.8962609260597674e-12,4.822277871136962e-10,Down,Down,ns
ADCY2,0.44697688222035165,1.9160296910878647,-1.469052808867513,-9.680167375105164,43.614835533211945,1.9768631176475537e-12,4.848256796030626e-10,Down,Down,ns
FAHD2CP,0.9096827592201204,2.029652982053412,-1.1199702228332915,-9.656214200580745,43.614835533211945,2.1296298058359753e-12,5.124371493174753e-10,Down,Down,ns
F10,1.140494857826326,4.236631470596013,-3.096136612769687,-9.5772710840453,43.614835533211945,2.722932990195659e-12,6.313738986175498e-10,Down,Down,Down
FBLIM1,5.376967891277181,3.5971365246850926,1.7798313665920888,9.578686462886779,43.614835533211945,2.7109425815297072e-12,6.313738986175498e-10,Up,Up,Up
ABCA9,0.5815228008992794,2.853527115999002,-2.2720043150997227,-9.570918632991802,43.614835533211945,2.7773339184022916e-12,6.32488204667579e-10,Down,Down,Down
PDE9A,1.097724845749435,2.335205749894103,-1.237480904144668,-9.546515234326524,43.614835533211945,2.9971580772780726e-12,6.617471398437475e-10,Down,Down,ns
MFAP4,4.107267671574004,7.01369531211462,-2.906427640540616,-9.545180429070259,43.614835533211945,3.0095925751538743e-12,6.617471398437475e-10,Down,Down,Down
GPD1L,1.6487339627279594,2.8743523015995804,-1.225618338871621,-9.524779078805347,43.614835533211945,3.2076563627470023e-12,6.933430778663138e-10,Down,Down,ns
MFSD4A,0.6506731190047088,2.414407509800269,-1.76373439079556,-9.491233352749747,43.614835533211945,3.5624836414172023e-12,7.572058979832264e-10,Down,Down,Down
CGNL1,0.9568063105759251,2.8959696925306875,-1.9391633819547622,-9.444645171328235,43.614835533211945,4.121814001223356e-12,8.478305477032494e-10,Down,Down,Down
KPNA2,4.935724729822253,3.090326130504085,1.8453985993181679,9.448861627699939,43.614835533211945,4.0678571622265736e-12,8.478305477032494e-10,Up,Up,Up
ACTR3,6.119489383076682,4.7927242061591375,1.3267651769175446,9.418013886620276,43.614835533211945,4.480860127387132e-12,8.876009479646869e-10,Up,Up,ns
WNT5A,4.02820378337939,1.5941382327729228,2.4340655506064675,9.408106288706021,43.614835533211945,4.622302540724377e-12,8.876009479646869e-10,Up,Up,Up
PLP1,0.4987413918390319,2.573192747033671,-2.0744513551946393,-9.41570574181151,43.614835533211945,4.513500684311111e-12,8.876009479646869e-10,Down,Down,Down
RAD51-AS1,1.4035165244066306,2.6686227713027724,-1.2651062468961418,-9.413766734960365,43.614835533211945,4.541034215321815e-12,8.876009479646869e-10,Down,Down,ns
PLLP,0.9859060486462188,3.3087222355659556,-2.322816186919737,-9.405302565427318,43.614835533211945,4.6631587480305825e-12,8.876009479646869e-10,Down,Down,Down
LRIG3,2.6986356591564986,4.237729290579004,-1.5390936314225057,-9.39564936721078,43.614835533211945,4.806821607417078e-12,8.884260283969564e-10,Down,Down,Down
LYRM9,1.6072731809213892,2.765811764205704,-1.1585385832843147,-9.397086116570028,43.614835533211945,4.785061236134425e-12,8.884260283969564e-10,Down,Down,ns
FN3K,1.0589682402737346,2.693683782540859,-1.6347155422671242,-9.374118423522436,43.614835533211945,5.142997139273575e-12,9.237836974247311e-10,Down,Down,Down
ACADSB,1.4422945752744873,2.7196264600016904,-1.277331884727203,-9.375094817510465,43.614835533211945,5.127231972323898e-12,9.237836974247311e-10,Down,Down,ns
GPRASP1,0.7055057547168709,1.8881752855708325,-1.1826695308539614,-9.349086578181254,43.614835533211945,5.5642157548163595e-12,9.461392469489739e-10,Down,Down,ns
TUBB3,5.481806339016012,2.3353126232985106,3.1464937157175017,9.349174651257945,43.614835533211945,5.562661442581884e-12,9.461392469489739e-10,Up,Up,Up
HS3ST3A1,1.878357306218909,0.4443153694156992,1.4340419368032098,9.358190457244994,43.614835533211945,5.4072302191343624e-12,9.461392469489739e-10,Up,Up,ns
GPRIN1,2.000894701237948,0.6976202938585367,1.3032744073794111,9.3560487701406,43.614835533211945,5.4436455343420675e-12,9.461392469489739e-10,Up,Up,ns
GTF2IP20,1.6234718770701795,2.726717090998433,-1.1032452139282536,-9.340251074359028,43.614835533211945,5.721201290498357e-12,9.60032632338494e-10,Down,Down,ns
TNFRSF12A,5.893450811734895,3.36908942995066,2.5243613817842347,9.315027004118187,43.614835533211945,6.193934254383748e-12,9.998891588121005e-10,Up,Up,Up
MST1P2,0.4530800576597745,1.5869444883464303,-1.1338644306866559,-9.275613244987573,43.614835533211945,7.013278846557114e-12,1.104201791730159e-09,Down,Down,ns
FBXW4,3.503881102364738,4.561823086495648,-1.0579419841309106,-9.26220424126679,43.614835533211945,7.316147687674857e-12,1.1378394080599688e-09,Down,Down,ns
TBC1D8,2.392443672834631,3.6381123031231457,-1.2456686302885145,-9.245545310790655,43.614835533211945,7.711387084441412e-12,1.1848592709383293e-09,Down,Down,ns
CRACR2B,1.1493783491684264,2.9504356240837866,-1.8010572749153602,-9.194364664055863,43.614835533211945,9.065415085274253e-12,1.360132218617677e-09,Down,Down,Down
SH3BGRL3,8.355971557734906,7.03972590796547,1.316245649769436,9.183471051878932,43.614835533211945,9.383382959526898e-12,1.3914684056144945e-09,Up,Up,ns
PGF,5.055188382227969,2.6974189453960378,2.357769436831931,9.171056535980924,43.614835533211945,9.759526520269901e-12,1.4143550194659323e-09,Up,Up,Up
MYH14,0.9115424158196582,3.502359917014001,-2.590817501194343,-9.112165639244305,43.614835533211945,1.1762590901298609e-11,1.6377276925909525e-09,Down,Down,Down
NMNAT3,1.0152505002117052,2.535985098549601,-1.520734598337896,-9.110777906683511,43.614835533211945,1.1814549338851066e-11,1.6377276925909525e-09,Down,Down,Down
TPM4,8.655878602308691,7.08747321812527,1.5684053841834213,9.0883137825321,43.614835533211945,1.2688072814626139e-11,1.7313648599910076e-09,Up,Up,Up
CLU,4.287938912701852,7.228385505659729,-2.9404465929578762,-9.08649062409082,43.614835533211945,1.2761569578856324e-11,1.7313648599910076e-09,Down,Down,Down
GSN,6.419816003312548,8.238615988015269,-1.8187999847027205,-9.07657530742219,43.614835533211945,1.3170131651918382e-11,1.767986199546475e-09,Down,Down,Down
INMT,1.0381552612998208,2.5172998376938183,-1.4791445763939974,-9.027527207637142,43.614835533211945,1.539346428103272e-11,2.0358130027125766e-09,Down,Down,ns
ZNF395,2.972400827351706,4.062866315941874,-1.090465488590168,-9.025671812525191,43.614835533211945,1.5484502569051983e-11,2.0358130027125766e-09,Down,Down,ns
ANKRD33B,0.41253767213455417,1.7916390430174327,-1.3791013708828785,-8.99903543137842,43.614835533211945,1.6855628004464052e-11,2.1713113529386874e-09,Down,Down,ns
ABCA6,1.177699406148596,3.1026531459001334,-1.9249537397515375,-8.991430352431511,43.614835533211945,1.726907505883446e-11,2.2023251422531586e-09,Down,Down,Down
EPHX2,1.8183731346535474,3.6216661950936295,-1.803293060440082,-8.985533315370537,43.614835533211945,1.7596812895703806e-11,2.220857458718897e-09,Down,Down,Down
CECR7,1.0057745585715063,2.0519693163580692,-1.046194757786563,-8.98259037944459,43.614835533211945,1.7762680215582805e-11,2.220857458718897e-09,Down,Down,ns
FRZB,0.9359576684140029,2.650307297697866,-1.7143496292838631,-8.94874268296245,43.614835533211945,1.978817110170894e-11,2.4034147243818487e-09,Down,Down,Down
NFIA,1.9376459643083332,3.244108093237359,-1.3064621289290257,-8.948832455561917,43.614835533211945,1.978239794198089e-11,2.4034147243818487e-09,Down,Down,ns
FAM180B,0.19594699272502947,2.8914423338890547,-2.6954953411640252,-8.894705055460326,43.614835533211945,2.3517632286029766e-11,2.829437401356015e-09,Down,Down,Down
SLC25A27,1.173028964350671,2.8217433821778286,-1.6487144178271576,-8.8903002383883,43.614835533211945,2.3851365327232088e-11,2.842770673067204e-09,Down,Down,Down
FAM189A2,0.924813694736906,2.668389639335366,-1.7435759445984598,-8.881406560783706,43.614835533211945,2.4539703602499685e-11,2.871145321492463e-09,Down,Down,Down
DCT,0.16779823441109679,2.6720994003303398,-2.504301165919243,-8.881436914830221,43.614835533211945,2.453726111184551e-11,2.871145321492463e-09,Down,Down,Down
GRTP1,1.0843889269702895,2.566516415744145,-1.4821274887738554,-8.865753257207077,43.614835533211945,2.5800472869264013e-11,2.991213004561127e-09,Down,Down,ns
ARHGEF26,0.7841734938006948,2.311684096697969,-1.527510602897274,-8.842559987044142,43.614835533211945,2.7789992529392293e-11,3.076240503709226e-09,Down,Down,Down
SLC16A14,0.7873281695893467,1.9765799670410173,-1.1892517974516705,-8.852767906107843,43.614835533211945,2.6895818905359192e-11,3.076240503709226e-09,Down,Down,ns
RAI2,1.5591074685008834,3.2295674894410347,-1.6704600209401512,-8.845472186325761,43.614835533211945,2.7531976698469407e-11,3.076240503709226e-09,Down,Down,Down
FAAH,1.161448978282867,2.4976766260740546,-1.3362276477911876,-8.850178318249943,43.614835533211945,2.7120083956333474e-11,3.076240503709226e-09,Down,Down,ns
CTPS1,3.8640410492805493,2.6130271930981577,1.2510138561823916,8.840421493874413,43.614835533211945,2.7981172934232745e-11,3.076240503709226e-09,Up,Up,ns
LTBP4,3.9959837033202485,5.758619954654409,-1.7626362513341607,-8.843018310804311,43.614835533211945,2.7749358366691013e-11,3.076240503709226e-09,Down,Down,Down
EZH1,2.739785173222223,3.917397237311635,-1.1776120640894119,-8.836412027007174,43.614835533211945,2.834288359565562e-11,3.0893743119264627e-09,Down,Down,ns
PLCB4,0.5423970331192691,1.8051422751431676,-1.2627452420238985,-8.824809197831032,43.614835533211945,2.9416913349678e-11,3.179270304647826e-09,Down,Down,ns
GIGYF1,2.8719632209701524,3.9663074219141152,-1.0943442009439628,-8.821992456121196,43.614835533211945,2.9683810964797885e-11,3.181156649025777e-09,Down,Down,ns
KAT2A,3.031009744245689,4.1839806484115485,-1.1529709041658593,-8.777618378299975,43.614835533211945,3.422617744774925e-11,3.577757713042182e-09,Down,Down,ns
AMOT,0.7406770014453733,1.8479852020872813,-1.1073082006419082,-8.778746009169234,43.614835533211945,3.410249860280601e-11,3.577757713042182e-09,Down,Down,ns
PARD3B,1.2424734483425817,2.7769527352516055,-1.5344792869090238,-8.770325588316089,43.614835533211945,3.503730638954039e-11,3.6327704746813707e-09,Down,Down,Down
EEF2K,2.8098972998305025,4.413030992142266,-1.6031336923117636,-8.760062876756333,43.614835533211945,3.621170030498888e-11,3.724256564431639e-09,Down,Down,Down
TMEM198B,2.5615295132313944,3.611631780404989,-1.0501022671735947,-8.753164799391799,43.614835533211945,3.7023495380594795e-11,3.777285092709804e-09,Down,Down,ns
TSPAN8,0.36623221877958284,2.7196985199620314,-2.3534663011824484,-8.749264322121688,43.614835533211945,3.749067722935706e-11,3.794592116714211e-09,Down,Down,Down
MIR29B2CHG,0.7699337692854411,1.9418234098174223,-1.1718896405319812,-8.744595085164796,43.614835533211945,3.8057557105730666e-11,3.821637998184119e-09,Down,Down,ns
THRA,2.915685619557244,3.9347751794450367,-1.0190895598877927,-8.730921903042248,43.614835533211945,3.976818874207311e-11,3.962216492403581e-09,Down,Down,ns
MAMDC2,0.9288617216314696,3.188886751096112,-2.2600250294646425,-8.711439263901495,43.614835533211945,4.234079753473452e-11,4.106881953916604e-09,Down,Down,Down
SPHK1,5.13324153925379,3.081991073466074,2.051250465787716,8.705541634001293,43.614835533211945,4.315237056573551e-11,4.106881953916604e-09,Up,Up,Up
PPP1R1B,0.5076689262368975,3.81126110019812,-3.3035921739612224,-8.694596921357512,43.614835533211945,4.470002146206298e-11,4.171765516977561e-09,Down,Down,Down
ZSCAN18,2.136988292040876,3.357314301063454,-1.2203260090225778,-8.694497887632556,43.614835533211945,4.471423231677818e-11,4.171765516977561e-09,Down,Down,ns
DIO3OS,0.620404998566566,2.3474277652378377,-1.7270227666712716,-8.689733728332838,43.614835533211945,4.540567921651473e-11,4.196077007595741e-09,Down,Down,Down
PGAM1,7.689406499601275,6.432524385612483,1.2568821139887918,8.676248507558423,43.614835533211945,4.742184422923401e-11,4.320805628182107e-09,Up,Up,ns
FXYD1,2.470236612375409,4.498452343307805,-2.028215730932396,-8.67396682571252,43.614835533211945,4.777178652659586e-11,4.320805628182107e-09,Down,Down,Down
EIF4EBP1,5.889926668741845,3.868006657913072,2.021920010828773,8.675379370272129,43.614835533211945,4.7554848947584105e-11,4.320805628182107e-09,Up,Up,Up
ACTG1,10.66908939119297,9.33923967856692,1.32984971262605,8.625388567527411,43.614835533211945,5.5874638249520103e-11,5.018093391522041e-09,Up,Up,ns
ZNF577,1.5164154838230184,2.6489868388200835,-1.132571354997065,-8.619513256523913,43.614835533211945,5.6944449156048904e-11,5.0784095110985436e-09,Down,Down,ns
OSR1,0.7645225739419316,2.703296241579024,-1.9387736676370921,-8.599445100258846,43.614835533211945,6.075717706721662e-11,5.356470577433764e-09,Down,Down,Down
CCNE1,2.1072464262964026,0.9705130376990726,1.1367333885973299,8.598705983785008,43.614835533211945,6.090239423883759e-11,5.356470577433764e-09,Up,Up,ns
FBXO44,2.011426906085026,3.0919885738949553,-1.0805616678099295,-8.593584932899542,43.614835533211945,6.191847035097453e-11,5.4037784179312164e-09,Down,Down,ns
TXNIP,5.767569955057493,7.809791373917119,-2.0422214188596266,-8.59174557441052,43.614835533211945,6.228773052896486e-11,5.4037784179312164e-09,Down,Down,Down
ENTPD7,2.739826998178741,1.575075942636672,1.1647510555420688,8.575045436931253,43.614835533211945,6.57423004923885e-11,5.6649429606718274e-09,Up,Up,ns
PLAC9,3.2080940641154414,5.243266108735319,-2.0351720446198773,-8.571138335764061,43.614835533211945,6.657807638532631e-11,5.698457772765547e-09,Down,Down,Down
LINC01094,1.9223705924546934,0.7576176647287723,1.164752927725921,8.545341200866156,43.614835533211945,7.237255239544993e-11,6.11236530264353e-09,Up,Up,ns
PDLIM7,6.2041021717224485,4.581998978227277,1.622103193495171,8.541724505583604,43.614835533211945,7.322453754454727e-11,6.1436350480632325e-09,Up,Up,Up
AMT,1.5047468016426222,2.867245472694966,-1.3624986710523437,-8.520020056432818,43.614835533211945,7.855560646419235e-11,6.505322397648345e-09,Down,Down,ns
PLEKHH1,0.6715570788062776,2.2625589443591183,-1.5910018655528408,-8.503918974423982,43.614835533211945,8.276201945989214e-11,6.765795090846183e-09,Down,Down,Down
TCEA3,2.5821494228088007,3.959903717438454,-1.3777542946296535,-8.4800431603972,43.614835533211945,8.942224738461846e-11,7.263706502522542e-09,Down,Down,ns
SVEP1,1.5759536195403276,3.4768209260944145,-1.9008673065540869,-8.464349836715781,43.614835533211945,9.409228951540172e-11,7.546911749622126e-09,Down,Down,Down
PPOX,2.268230371509488,3.3206898079352856,-1.0524594364257975,-8.465038364339227,43.614835533211945,9.388245736374756e-11,7.546911749622126e-09,Down,Down,ns
TMEM159,3.271280968481856,4.464795429202215,-1.1935144607203587,-8.44998446748108,43.614835533211945,9.858314165001048e-11,7.764081682448958e-09,Down,Down,ns
ACCS,2.1096124930480658,3.3844551922318984,-1.2748426991838326,-8.447592041625807,43.614835533211945,9.935163802765601e-11,7.764081682448958e-09,Down,Down,ns
CLEC3B,3.979942060395634,6.888478023909987,-2.908535963514353,-8.446069759916906,43.614835533211945,9.98439109167748e-11,7.764081682448958e-09,Down,Down,Down
PHLDA2,4.842002283997783,2.814492015784835,2.027510268212948,8.449833816351926,43.614835533211945,9.863132532927921e-11,7.764081682448958e-09,Up,Up,Up
P4HB,8.576563362314193,7.353524907036401,1.2230384552777922,8.440685613305645,43.614835533211945,1.0160450258922538e-10,7.853104372850856e-09,Up,Up,ns
EIF4EBP3,2.2552667343324484,3.3389425413412375,-1.083675807008789,-8.430672946229611,43.614835533211945,1.0496270519411155e-10,8.06379144181027e-09,Down,Down,ns
CDC20,3.873605982412225,1.706917207681456,2.166688774730769,8.419084342435793,43.614835533211945,1.0898992819363684e-10,8.250938086608638e-09,Up,Up,Up
CYP4B1,0.191468968218506,2.0352521842856732,-1.8437832160671672,-8.418098256211387,43.614835533211945,1.0933964844639377e-10,8.250938086608638e-09,Down,Down,Down
LINC01315,0.6735514102688233,2.274969443779136,-1.601418033510313,-8.412152365860996,43.614835533211945,1.1147283096590854e-10,8.362429490048422e-09,Down,Down,Down
HIF1A,6.369969830502718,4.594636594459641,1.7753332360430774,8.409687415654298,43.614835533211945,1.1236944708059582e-10,8.38039507964233e-09,Up,Up,Up
ABCA10,0.46174246589627604,2.656607731373459,-2.194865265477183,-8.399750522174864,43.614835533211945,1.1605849614682029e-10,8.605197682327902e-09,Down,Down,Down
CAP1,7.0383055770935234,5.858987552590837,1.1793180245026864,8.39782744343051,43.614835533211945,1.1678658040636947e-10,8.609128670071849e-09,Up,Up,ns
MMP28,2.3710939561287963,3.638491118832023,-1.2673971627032268,-8.394454187110556,43.614835533211945,1.1807466115953957e-10,8.654058354986254e-09,Down,Down,ns
SMOX,4.0762327692294,2.376331056305756,1.6999017129236442,8.374494334825878,43.614835533211945,1.2599499221721544e-10,9.092305098767596e-09,Up,Up,Up
LINC01133,0.6000838963470665,2.3314662083748825,-1.731382312027816,-8.370558934127091,43.614835533211945,1.276188044130322e-10,9.092305098767596e-09,Down,Down,Down
UVSSA,2.4333428236799777,3.457821228386411,-1.0244784047064335,-8.372770704829373,43.614835533211945,1.2670353655153122e-10,9.092305098767596e-09,Down,Down,ns
CHST2,3.7507696769615806,2.086552143358815,1.6642175336027658,8.354290004132832,43.614835533211945,1.3455903058456897e-10,9.480836005773525e-09,Up,Up,Up
ACTB,11.37794402738104,10.00888107397811,1.3690629534029313,8.344341267948513,43.614835533211945,1.3898970863124305e-10,9.685987727728101e-09,Up,Up,ns
SLC29A1,3.9136075482521675,5.067685285454722,-1.1540777372025546,-8.324737763497422,43.614835533211945,1.4815593196715326e-10,1.0158239786973686e-08,Down,Down,ns
PTPRS,2.6014719824849024,4.144199730543741,-1.5427277480588382,-8.320105341945462,43.614835533211945,1.504094626625374e-10,1.0257603622114115e-08,Down,Down,Down
PHYHIP,0.594103960524516,2.1122236473629834,-1.5181196868384674,-8.314509102631957,43.614835533211945,1.5317835888595255e-10,1.0390870270598686e-08,Down,Down,Down
TNXB,1.5235530886998385,4.664770654263063,-3.141217565563225,-8.285400697868086,43.614835533211945,1.684319350658825e-10,1.1129598279249738e-08,Down,Down,Down
HM13,5.64577641324211,4.543521070733618,1.1022553425084922,8.277342945943095,43.614835533211945,1.7291923448681246e-10,1.1251219374542444e-08,Up,Up,ns
PLA2G6,1.6224329692185357,3.097904327662011,-1.4754713584434753,-8.278416441550512,43.614835533211945,1.723146070276016e-10,1.1251219374542444e-08,Down,Down,ns
PFN1,9.304283488152667,8.018639054548778,1.2856444336038884,8.262239804648612,43.614835533211945,1.8165779991363706e-10,1.1759806712175704e-08,Up,Up,ns
NTRK2,0.9544532702495678,3.3979806535423567,-2.443527383292789,-8.259283786440086,43.614835533211945,1.8341950180911226e-10,1.1813883366523276e-08,Down,Down,Down
HSF4,1.7604108734946338,3.586601428078422,-1.8261905545837882,-8.257437850560787,43.614835533211945,1.8452839256610787e-10,1.1825580856259164e-08,Down,Down,Down
PPIEL,1.3570103483183622,2.407339681652605,-1.0503293333342427,-8.253766118545768,43.614835533211945,1.867543897304813e-10,1.186072140502148e-08,Down,Down,ns
CAPN3,1.8835704594593425,3.286567582490933,-1.4029971230315905,-8.251947544144716,43.614835533211945,1.8786683320115571e-10,1.186072140502148e-08,Down,Down,ns
OSR2,1.5861697718259464,3.9429845446208858,-2.356814772794939,-8.233640180144615,43.614835533211945,1.9944534912497147e-10,1.2287567813481937e-08,Down,Down,Down
NETO2,2.6033702356753965,1.1489175282377513,1.4544527074376452,8.234726664337487,43.614835533211945,1.987385811474951e-10,1.2287567813481937e-08,Up,Up,ns
D2HGDH,2.3725844119748034,3.6844567660443532,-1.3118723540695498,-8.231019042164533,43.614835533211945,2.011610877872272e-10,1.2333689194954367e-08,Down,Down,ns
CFL1,9.133331856860801,7.884664284873507,1.2486675719872942,8.212390451706723,43.614835533211945,2.137912069599679e-10,1.2983234582668907e-08,Up,Up,ns
ALDH5A1,0.8248932117225217,1.9601790586967995,-1.135285846974278,-8.196202521428042,43.614835533211945,2.2541501998318836e-10,1.3606966798590211e-08,Down,Down,ns
IQCN,0.6404336105392171,1.967091410264052,-1.3266577997248348,-8.18925165990415,43.614835533211945,2.3059976150818784e-10,1.3806754734807134e-08,Down,Down,ns
ALDH3A2,3.9647521294003742,5.627014170796867,-1.662262041396493,-8.181955411002072,43.614835533211945,2.361717488241766e-10,1.4008829361649879e-08,Down,Down,Down
