gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
S100A1,1.2980722868773267,3.1787122158586656,-1.880639928981339,-5.176446791030203,43.614835533211945,5.483513899395831e-06,3.966605374872095e-05,Down,Down,Down
ATP6V1C2,1.6726781181922126,3.8054630750520517,-2.1327849568598394,-5.166267427922688,43.614835533211945,5.671634068837861e-06,4.081515727428724e-05,Down,Down,Down
NDC80,2.2983377575267663,1.167910964059244,1.1304267934675223,5.166121723604332,43.614835533211945,5.674372606234712e-06,4.081515727428724e-05,Up,Up,ns
FHL1,4.042247116133559,5.754707533781491,-1.7124604176479314,-5.164413521720728,43.614835533211945,5.706576304831401e-06,4.0985781045206126e-05,Down,Down,Down
MAB21L4,1.2420558154000876,3.155708381458868,-1.9136525660587802,-5.163276715299317,43.614835533211945,5.728107988378639e-06,4.106271004822529e-05,Down,Down,Down
RAPGEF3,2.216725614372287,3.2913103875586116,-1.0745847731863245,-5.163102224556212,43.614835533211945,5.731420039456481e-06,4.1063370653476685e-05,Down,Down,ns
ZG16B,0.45330794890801995,2.203611456787559,-1.750303507879539,-5.160904902810363,43.614835533211945,5.773290469468506e-06,4.130140021711608e-05,Down,Down,Down
TBILA,0.5329320774674784,1.7230953562283045,-1.190163278760826,-5.160849049201913,43.614835533211945,5.77435870674492e-06,4.130140021711608e-05,Down,Down,ns
BMP8B,1.947489300728425,0.8329830417143015,1.1145062590141235,5.1575021450526854,43.614835533211945,5.838728734275378e-06,4.162931258449197e-05,Up,Up,ns
ADAMTS10,2.6145467181865754,3.621465616267823,-1.0069188980812478,-5.147044705365891,43.614835533211945,6.044463239485154e-06,4.284882695561655e-05,Down,Down,ns
CD68,6.259753818175991,4.772230840091365,1.487522978084626,5.142638775494704,43.614835533211945,6.133275855413345e-06,4.335790852776407e-05,Up,Up,ns
DDR1,2.619040754247007,3.9002301414075204,-1.2811893871605133,-5.1392642072360495,43.614835533211945,6.2021706892512185e-06,4.379639136213776e-05,Down,Down,ns
CTSL,6.936254321621981,5.121717710902215,1.8145366107197667,5.131679536422599,43.614835533211945,6.3598249178120625e-06,4.4662360780207725e-05,Up,Up,Up
FSCN1,6.670466640678511,5.424959746390793,1.2455068942877183,5.1308783523118136,43.614835533211945,6.376707971655904e-06,4.475627779996023e-05,Up,Up,ns
TNFRSF25,2.6486241968239943,3.735778777317462,-1.087154580493468,-5.129416717841564,43.614835533211945,6.407622736626095e-06,4.493019422640127e-05,Down,Down,ns
PIMREG,1.9544394290975855,0.7621381764305177,1.1923012526670678,5.1260348888322405,43.614835533211945,6.4797206318356615e-06,4.5329609005924404e-05,Up,Up,ns
IL34,1.9193949009417577,3.302262739598494,-1.3828678386567361,-5.111677253638258,43.614835533211945,6.794853756320052e-06,4.730063862136988e-05,Down,Down,ns
DUSP5,3.5312859016804965,2.4111946712450076,1.1200912304354889,5.105200982769054,43.614835533211945,6.941915389635511e-06,4.821908876036039e-05,Up,Up,ns
CDC42BPG,1.476399993378683,2.9723117995145167,-1.4959118061358336,-5.104338992694128,43.614835533211945,6.9617250959552734e-06,4.8330364806052045e-05,Down,Down,ns
CEMIP2,4.1360323723659125,2.9705481627876353,1.1654842095782771,5.093785951796951,43.614835533211945,7.208826837468152e-06,4.976375926999024e-05,Up,Up,ns
IFIT1,1.5232019638828311,2.537284130100302,-1.014082166217471,-5.090086236373435,43.614835533211945,7.297493428648494e-06,5.020826420714841e-05,Down,Down,ns
CLIP4,2.4416575998860184,3.5447058747431712,-1.1030482748571528,-5.08211976078244,43.614835533211945,7.492092908734094e-06,5.1286452423556575e-05,Down,Down,ns
PATJ,1.968857489377139,3.104265068230923,-1.135407578853784,-5.056617543923917,43.614835533211945,8.150188496314215e-06,5.487822275263737e-05,Down,Down,ns
VASP,5.634485161732898,4.612558409897567,1.0219267518353305,5.056342877230997,43.614835533211945,8.15757862349109e-06,5.4898997459304425e-05,Up,Up,ns
ADCY5,0.6664158816772515,1.7392399013086852,-1.0728240196314336,-5.0548972877840335,43.614835533211945,8.19658263928602e-06,5.507235386426373e-05,Down,Down,ns
PAK6,1.1459211653687964,2.4011561270345605,-1.255234961665764,-5.0546759586640295,43.614835533211945,8.202570652704466e-06,5.507235386426373e-05,Down,Down,ns
MST1R,1.492038653213511,3.0181942993124844,-1.5261556460989734,-5.049490163144956,43.614835533211945,8.344115074887526e-06,5.583027258659004e-05,Down,Down,Down
GCSAM,0.7026272574197369,1.814340779310136,-1.1117135218903993,-5.048386373073344,43.614835533211945,8.374552727952178e-06,5.59751944127747e-05,Down,Down,ns
LSR,2.746813955670697,3.846948010713066,-1.1001340550423686,-5.045820983638462,43.614835533211945,8.445719282157427e-06,5.639175811798621e-05,Down,Down,ns
PDPN,4.495014227946262,2.7039284271568205,1.7910858007894417,5.044422998569584,43.614835533211945,8.484752034965126e-06,5.659311856794469e-05,Up,Up,Up
ADAM23,2.435734231713503,1.2705577812627091,1.165176450450794,5.034590081008908,43.614835533211945,8.764375428960136e-06,5.8305727618950766e-05,Up,Up,ns
LAMA2,2.330042633138814,3.5703917952237596,-1.2403491620849456,-5.030713031792797,43.614835533211945,8.877114502148231e-06,5.893276483388672e-05,Down,Down,ns
RNF227,1.6379333551189037,3.331489211515609,-1.6935558563967053,-5.025217566999385,43.614835533211945,9.039373162211817e-06,5.9823106350642085e-05,Down,Down,Down
RPL22L1,4.745893596345867,3.6261638125450033,1.1197297838008633,5.0229191544888,43.614835533211945,9.108101627797183e-06,6.0246690902125244e-05,Up,Up,ns
SCG5,2.208296951889459,0.7491218268305436,1.4591751250589153,5.021882566825337,43.614835533211945,9.139266924140799e-06,6.042149874731343e-05,Up,Up,ns
GSTA3,0.07548399592283768,1.1650639257883766,-1.0895799298655389,-5.013644347073575,43.614835533211945,9.390725230762342e-06,6.189143093948949e-05,Down,Down,ns
LAMB1,6.160995450152658,4.911031032039654,1.249964418113004,5.002616296933886,43.614835533211945,9.73806326265425e-06,6.386826364124065e-05,Up,Up,ns
ZNF469,2.1247367493761673,0.9605811738438392,1.164155575532328,5.002532544792746,43.614835533211945,9.740749061570853e-06,6.386826364124065e-05,Up,Up,ns
ADM,5.802707408732737,4.378715194572948,1.4239922141597896,4.9920749572737595,43.614835533211945,1.0081919562532349e-05,6.56328331704824e-05,Up,Up,ns
KRT31,0.18979303322783891,1.3603000327341406,-1.1705069995063018,-4.990369352070171,43.614835533211945,1.0138671751702688e-05,6.593497238626435e-05,Down,Down,ns
LINC00342,1.8974864733214811,2.940537850855181,-1.0430513775336998,-4.987397562266963,43.614835533211945,1.0238309433141524e-05,6.64812424647932e-05,Down,Down,ns
RAPGEFL1,2.8870423473285145,4.727806500857973,-1.8407641535294585,-4.976129864461938,43.614835533211945,1.0624950038229386e-05,6.86423443959166e-05,Down,Down,Down
C5orf38,1.815135476888815,2.9492288325256637,-1.1340933556368487,-4.971002008591948,43.614835533211945,1.0805646554423731e-05,6.963335548689532e-05,Down,Down,ns
KLK1,0.5144696327247105,2.183785532539511,-1.6693158998148006,-4.962383716912404,43.614835533211945,1.1116197293770114e-05,7.134618222820848e-05,Down,Down,Down
PTPN3,1.7466280595890509,2.9246248840833515,-1.1779968244943007,-4.957964607069156,43.614835533211945,1.127883505258609e-05,7.20997410654789e-05,Down,Down,ns
GINS2,2.02104268371717,0.9195731076753614,1.1014695760418087,4.957674468206195,43.614835533211945,1.1289594894936528e-05,7.213236658072421e-05,Up,Up,ns
IRX4,1.0024996312192898,2.311764619891996,-1.3092649886727064,-4.951092331177752,43.614835533211945,1.1536434507686266e-05,7.348858605220927e-05,Down,Down,ns
S100A12,4.429021070194517,2.017747630234828,2.4112734399596896,4.937960141846026,43.614835533211945,1.2044930931098818e-05,7.638438794843522e-05,Up,Up,Up
