Model,C_index,CI_low,CI_high,AUC_90d,AUC_180d,AUC_360d,Integrated_Brier
DeepSurv,0.7700759789596727,0.7043082725464191,0.8297984459869038,0.8134863672514858,0.7710644173324867,0.7838515742903589,0.1355233046754444
Cox PH,0.7715564710633727,,,0.8173620174218132,0.7973589000627364,0.8018316413131639,0.13658963596011672
RSF,0.7234452353174772,,,0.7495113443761648,0.733464960975873,0.7366222149778271,0.15314045712526028
CoxNet,0.6575122791636399,,,0.6848198900817994,0.710438950188032,0.7435011804730888,
