train_loss,val_loss
3.7562928850000556,3.616360902786255
3.6094335425983775,3.4853763580322266
3.53087795864452,3.3611481189727783
3.5380878881974653,3.2972004413604736
3.4371115511113945,3.262577772140503
3.4048268144780938,3.223446846008301
3.4706704833290796,3.2099483013153076
3.4589366262609307,3.1979105472564697
3.462278301065618,3.1713600158691406
3.4115988341244785,3.1802260875701904
3.4247130047191274,3.1875345706939697
3.2957990819757637,3.1768996715545654
3.3889412446455522,3.1671178340911865
3.341720689426769,3.1774213314056396
3.3298642201857134,3.179605484008789
3.276878833770752,3.166851043701172
3.3592756444757637,3.1635446548461914
3.294737555763938,3.156348466873169
3.2585749409415503,3.1535511016845703
3.2823884270407935,3.1521804332733154
3.297809665853327,3.1394996643066406
3.279810602014715,3.128241777420044
3.2176627896048804,3.117523431777954
3.2992150566794654,3.1176021099090576
3.243382128802213,3.133612871170044
3.200088067488237,3.1106269359588623
3.168819535862316,3.1079699993133545
3.1322826472195713,3.0968964099884033
3.099108869379217,3.1032752990722656
3.1427444978193804,3.11072039604187
3.1619808240370317,3.116352081298828
3.1764843463897705,3.121352434158325
3.1316830678419634,3.132188558578491
3.128314430063421,3.155881643295288
3.166690479625355,3.1516754627227783
3.1805531761863013,3.1404359340667725
3.0605349323966284,3.157069444656372
3.1230786713686856,3.177391767501831
3.1836600303649902,3.1750850677490234
2.9367746006358755,3.1774940490722656
3.157209786501798,3.1579368114471436
3.1740995970639316,3.151277542114258
2.968577124855735,3.1542775630950928
3.109898480502042,3.1582882404327393
3.1370817964727227,3.174696683883667
2.9315364360809326,3.174240827560425
3.007780768654563,3.161571741104126
2.998354348269376,3.165412664413452
