sample,external_id,group,geo_id,platform,dataset,tech
GSM2114231,Diabetic Foot Ulcer 07,DFU,GSM2114231,GPL16686,GSE80178,Microarray
GSM2114232,Diabetic Foot Ulcer 14,DFU,GSM2114232,GPL16686,GSE80178,Microarray
GSM2114233,Diabetic Foot Ulcer 15,DFU,GSM2114233,GPL16686,GSE80178,Microarray
GSM2114234,Diabetic Foot Ulcer 24,DFU,GSM2114234,GPL16686,GSE80178,Microarray
GSM2114235,Diabetic Foot Ulcer 27,DFU,GSM2114235,GPL16686,GSE80178,Microarray
GSM2114236,Diabetic Foot Ulcer 31,DFU,GSM2114236,GPL16686,GSE80178,Microarray
GSM2114237,Diabetic Foot Skin 01,Control,GSM2114237,GPL16686,GSE80178,Microarray
GSM2114238,Diabetic Foot Skin 02,Control,GSM2114238,GPL16686,GSE80178,Microarray
GSM2114239,Diabetic Foot Skin 03,Control,GSM2114239,GPL16686,GSE80178,Microarray
GSM2114240,non-Diabetic Foot Skin 01,Control,GSM2114240,GPL16686,GSE80178,Microarray
GSM2114241,non-Diabetic Foot Skin 02,Control,GSM2114241,GPL16686,GSE80178,Microarray
GSM2114242,non-Diabetic Foot Skin 03,Control,GSM2114242,GPL16686,GSE80178,Microarray
