NR_038403	MKNK1-AS1
NM_001145474	TEX38
NR_038827	EFCAB14-AS1
NR_047498	LINC00853
NM_012186	FOXE3
NM_004474	FOXD2
NM_001194986	TRABD2B
NR_039617	MIR4421
NM_001136508	C1orf185
NM_014372	RNF11
NM_024586	OSBPL9
NM_152265	BTF3L4
NM_032864	PRPF38A
NM_015696	GPX7
NM_024646	ZYG11B
NM_001004339	ZYG11A
NM_002979	SCP2
NM_001199080	PODN
NM_000098	CPT2
NR_038953	MAGOH-DT
NM_001256409	LRRC42
NM_153035	TCEANC2
NM_016491	MRPL37
NM_147161	ACOT11
NR_037639	MROH7-TTC4
NM_152607	CIMAP2
NM_182532	TMEM61
NM_174936	PCSK9
NR_038320	LOC100507634
NR_039618	MIR4422
NR_034014	JUN-DT
NM_001113411	FGGY
NM_015888	HOOK1
NM_001134673	NFIA
NM_176877	PATJ
NR_036058	MIR3116-1
NM_001164835	L1TD1
NM_001017415	USP1
NM_014495	ANGPTL3
NR_038252	LINC00466
NM_012183	FOXD3
NM_032437	EFCAB7
NR_002771	DLEU2L
NM_002633	PGM1
NM_005012	ROR1
NM_152489	UBE2U
NM_020925	CACHD1
NR_039957	MIR4794
NM_002303	LEPR
NM_032291	SGIP1
NR_036060	MIR3117
NM_152665	DYNLT5
NM_020948	MIER1
NM_144701	IL23R
NR_040077	GNG12-AS1
NM_001114120	DEPDC1
NM_020794	LRRC7
NM_004768	SRSF11
NM_001036645	ANKRD13C-DT
NM_001902	CTH
NR_038420	ZRANB2-AS1
NR_046217	ZRANB2-DT
NM_001112808	FPGT-TNNI3K
NM_138467	TYW3
NM_001001933	LHX8
NM_174858	AK5
NM_144573	NEXN
NR_027310	MGC27382
NM_001039585	PTGFR
NM_006820	IFI44L
NM_006417	IFI44
NM_012302	ADGRL2
NM_001134663	SAMD13
NM_021233	DNASE2B
NM_025065	RPF1
NM_145172	DNAI3
NR_039619	MIR4423
NR_045484	BCL10-AS1
NM_006536	CLCA2
NM_001285	CLCA1
NM_012128	CLCA4
NM_001206651	SH3GLB1
NM_012262	HS2ST1
NR_026985	LINC01140
NM_006769	LMO4
NM_006256	PKN2
NM_182976	ZNF326
NM_003503	CDC7
NM_173567	EPHX4
NM_183242	BTBD8
