sample,external_id,group,geo_id,platform,dataset,tech
GSM4448287,Control_24h_01,Control,GSM4448287,GPL571,GSE147890,Microarray
GSM4448288,Control_24h_02,Control,GSM4448288,GPL571,GSE147890,Microarray
GSM4448289,Control_24h_03,Control,GSM4448289,GPL571,GSE147890,Microarray
GSM4448290,Control_24h_04,Control,GSM4448290,GPL571,GSE147890,Microarray
GSM4448291,Control_24h_05,Control,GSM4448291,GPL571,GSE147890,Microarray
GSM4448292,Control_24h_06,Control,GSM4448292,GPL571,GSE147890,Microarray
GSM4448293,Control_24h_07,Control,GSM4448293,GPL571,GSE147890,Microarray
GSM4448300,Diabetic_24h_01,DFU,GSM4448300,GPL571,GSE147890,Microarray
GSM4448301,Diabetic_24h_02,DFU,GSM4448301,GPL571,GSE147890,Microarray
GSM4448302,Diabetic_24h_03,DFU,GSM4448302,GPL571,GSE147890,Microarray
GSM4448303,Diabetic_24h_04,DFU,GSM4448303,GPL571,GSE147890,Microarray
GSM4448304,Diabetic_24h_05,DFU,GSM4448304,GPL571,GSE147890,Microarray
GSM4448305,Diabetic_24h_06,DFU,GSM4448305,GPL571,GSE147890,Microarray
