gene,GSM2114231,GSM2114232,GSM2114233,GSM2114234,GSM2114235,GSM2114236,GSM2114237,GSM2114238,GSM2114239,GSM2114240,GSM2114241,GSM2114242
S100A12,11.072483333333333,12.348883333333331,12.026199999999998,11.975016666666663,12.291350000000001,12.107133333333332,5.1976716666666665,5.493151666666667,5.355411666666666,5.106767499999999,5.417865833333334,5.240968333333333
MMP1,10.253958333333333,5.0508991666666665,10.964566666666668,8.680190833333333,11.270283333333333,11.147,3.2358358333333332,3.8152383333333333,3.712652500000001,3.8385608333333336,3.3734583333333332,4.126893333333333
KRT6C,11.418891666666667,9.871435833333333,10.151543333333334,10.710516666666669,11.355941666666666,12.239616666666668,9.995824999999998,5.887997500000001,5.092126666666666,3.626091666666666,4.434124166666667,3.412468333333333
HEPHL1,9.422320000000001,11.879083333333334,12.095558333333335,11.562225,12.698933333333335,12.01965,5.849136666666667,5.350219166666666,5.789795833333334,4.9837425,5.027686666666667,4.991562500000001
KRT2,9.263878333333334,4.7963375,7.4032149999999985,5.7934625,5.465898333333333,6.888285833333332,12.191175,12.965883333333336,12.287991666666663,12.911583333333333,12.749791666666667,13.122208333333333
FLG2,11.652408333333334,5.0469808333333335,8.2973525,8.2932575,4.3229225000000016,5.430140833333333,12.625158333333333,12.639416666666667,12.091549999999998,12.615991666666666,12.210891666666663,12.308024999999999
SPRR2B,10.591183333333333,12.46068333333333,11.297116666666668,12.368016666666664,11.078891666666665,9.891900000000001,5.5007625,4.9605508333333335,8.170811666666667,6.620355833333332,6.5152325,5.040590833333333
DCD,4.664318333333333,4.882146666666667,4.661616666666666,4.064471666666666,4.804328333333333,4.619928333333333,8.922785833333334,9.57598,10.777524999999999,9.737812499999999,9.858826666666667,11.250016666666667
S100A9,12.454891666666667,12.847383333333333,12.95829166666667,12.49714166666667,12.794708333333332,12.584275,9.553540833333333,7.907024166666666,9.180314999999998,6.517375833333335,6.647930833333334,5.731718333333333
PTHLH,10.781999999999998,8.728387499999998,10.618641666666665,9.837908333333333,10.76933333333333,11.576741666666665,5.1141975,5.464873333333333,5.245359166666667,5.182509166666667,5.42165,5.366851666666666
SPRR2F,9.413875833333334,11.750375,11.966516666666669,12.414575000000001,10.774650000000001,8.920295833333332,6.018194166666667,6.087363333333333,6.1756150000000005,6.046036666666667,6.255890833333333,5.674778333333333
LCE1B,10.822724999999998,5.922349166666667,4.643585833333333,7.679216666666668,3.5532466666666664,7.2129166666666675,10.869391666666665,11.261208333333334,10.281766666666666,10.448633333333333,10.519916666666667,9.670286666666666
PTGS2,11.060008333333334,6.073500833333334,11.562225,8.093558333333334,12.555491666666667,12.822675000000002,7.532328333333335,6.529171666666667,6.302606666666667,7.413630000000001,6.042353333333334,6.5295508333333325
PRR9,8.427260833333333,11.594525000000003,11.147,10.2975425,11.34360833333333,12.408083333333332,6.720495,5.9925125,6.532948333333334,5.835216666666667,5.599966666666667,6.345866666666666
HRNR,11.879083333333334,5.0380666666666665,8.664442500000002,8.693903333333333,5.521917500000001,5.6433575000000005,11.334316666666668,12.584275,7.849651666666667,6.507108333333335,10.906175,8.66203166666667
LCE3A,11.753574999999998,13.294066666666668,11.377066666666664,12.436858333333335,13.161500000000004,9.037030833333333,7.077263333333332,7.402674166666668,8.477778333333333,7.0515091666666665,7.160665833333333,7.080373333333334
CLDN17,7.001704166666667,8.340020833333334,9.485978333333332,8.372930833333333,10.149006666666667,10.720574999999998,4.269770833333333,4.459510833333334,5.253294166666666,4.8547891666666665,4.3219183333333335,3.521199166666666
MIR548I2,4.771909166666666,10.875541666666669,4.985449166666667,4.845213333333333,5.452207499999999,5.417865833333334,8.467018333333334,9.958294166666667,9.02671,10.388035833333335,10.270055833333334,10.202811666666667
MIR548I1,4.787164166666667,10.832374999999999,4.982970833333333,4.949186666666667,5.439793333333334,5.624454166666666,8.478975833333333,9.9575325,9.028510833333335,10.382421666666668,10.266385000000001,10.184975
PIP,4.5154325,5.1374275,4.678959999999999,4.255529999999999,4.429679166666666,5.338071666666667,7.77264,8.562034166666667,10.0901025,9.352938333333332,9.973821666666664,10.123179166666667
EPGN,11.139883333333335,10.008834166666666,11.351233333333335,11.32425,11.402624999999999,12.520966666666668,6.326448333333334,8.342244166666667,7.026777500000001,5.292643333333333,7.643428333333335,6.53577
LCE2B,11.927708333333333,10.456916666666666,6.643006666666666,10.0563575,5.033961666666667,9.392625833333332,12.000758333333332,12.482533333333334,12.330266666666667,12.196774999999997,12.604983333333331,11.876133333333334
S100A8,12.897891666666666,13.0173,12.878366666666665,12.827358333333331,13.087625000000001,13.0173,10.842958333333334,8.986469166666666,11.379841666666664,8.424855833333332,8.140788333333333,6.019511666666666
KRT9,11.14175,5.624454166666666,8.371396666666667,10.190294166666666,5.288118333333334,6.6416966666666655,9.27688,12.705149999999998,10.071938333333334,8.1325725,12.666583333333334,9.837908333333333
IL37,9.958294166666667,6.2724908333333325,5.434635,6.975265,5.27583,5.703755000000001,9.389671666666667,11.252983333333335,10.422040833333334,10.70125,10.920058333333335,10.743233333333334
CXCL8,6.085249166666666,7.7447091666666665,10.534258333333334,7.32313,10.095431666666668,9.416461666666667,5.963861666666666,3.9692916666666664,4.994675833333333,4.035375833333333,4.81306,4.012524999999999
LCE6A,11.972083333333332,6.408240833333334,6.815094999999999,9.534333333333333,6.1452383333333325,7.393904999999999,11.536883333333334,11.775883333333331,11.33034166666667,11.676616666666668,11.956008333333331,11.217624999999998
UPP1,9.646424166666666,9.730055833333335,10.984925000000002,9.423216666666667,11.1441,10.792125,6.2215774999999995,5.7141641666666665,5.7275025,5.3839274999999995,6.08759,5.87328
