Threshold,Test_TreatAll,Test_TreatNone,Test_LR,Test_RF,Test_XGBoost,Test_SVM,Test_LightGBM,Test_ANN,Test_Stacking,External_TreatAll,External_TreatNone,External_LR,External_RF,External_XGBoost,External_SVM,External_LightGBM,External_ANN,External_Stacking
0.01,0.11084480839149459,0.0,0.11296413420177609,0.11296413420177609,0.11121467327985088,0.10944302046462427,0.11048234080090544,0.09804008595660006,0.11176577196350174,0.20033670033670034,0.0,0.2024915824915825,0.20324915824915826,0.1985858585858586,0.1888047138047138,0.19436868686868686,0.1768939393939394,0.20069865319865318
0.012964824120603015,0.10817399298039074,0.0,0.11150643758726089,0.11105179639755207,0.11067574989604287,0.10835015991670156,0.10927234256277817,0.0965748636216246,0.11111051870965567,0.19793469775650818,0.0,0.1994423514238197,0.20135933204358009,0.19824058989240742,0.1872992397244001,0.19401775107762276,0.17408198418355225,0.19841716729457287
0.015929648241206032,0.105487084211859,0.0,0.11004059316350448,0.10950191761874782,0.10980430440446771,0.10665893584645199,0.1077759270538064,0.09551400452641531,0.10984906782055809,0.19551822158675042,0.0,0.19837056800966824,0.2004179645610989,0.19528166436875521,0.18589614291307086,0.19188390440688352,0.17375593627125568,0.19628734106112444
0.018894472361809043,0.10278393618729947,0.0,0.1083699780892904,0.10828798265807883,0.10897672927651748,0.10503899809234966,0.10735850105450026,0.09482632835036671,0.10829270883572414,0.19308714061326232,0.0,0.19714983268455918,0.19947568804206786,0.19404835074779758,0.18369408591135697,0.18820016390084002,0.17259270641262037,0.19404715563750596
0.021859296482412062,0.10006440123919008,0.0,0.10672339719499542,0.10670308075324712,0.10773639755438952,0.10335256090159102,0.10666865567139586,0.09452798274757866,0.10777317407625796,0.19064132203099582,0.0,0.19601421354568027,0.1979324000342495,0.1920108742186831,0.18237391899991437,0.18705282986557067,0.17150355338642007,0.1928208750749208
0.024824120603015074,0.09732832990419638,0.0,0.10557893871264735,0.10554180508597096,0.10655003588263103,0.10227581959744507,0.10625051393656332,0.09346141365226088,0.10691216421757695,0.1881806314198358,0.0,0.1950205262977086,0.1964994503418187,0.18999364457727852,0.18113598886942184,0.1858633927651242,0.17132407502834174,0.1907269229447937
0.027788944723618092,0.09457557089578926,0.0,0.10445613544399676,0.10491770893075238,0.10479423404853187,0.10133082416626019,0.1044285220391593,0.09247123639938083,0.10573543666852353,0.18570493271997382,0.0,0.1941138591685188,0.19590065643252186,0.1880216140314605,0.17987814648265882,0.18573633293706174,0.1702129959855964,0.19035453386399268
0.030753768844221104,0.09180597107636017,0.0,0.10335979926010425,0.10396243204244673,0.10446536008144047,0.10016507096046574,0.10408119687001524,0.09181667813562307,0.10491923308296028,0.18321408820682983,0.0,0.19224249965436196,0.19523036775888292,0.1876484515415457,0.1787206207659339,0.18461876123323656,0.16994884556892023,0.18901147518318817
0.03371859296482412,0.08901937542882286,0.0,0.10229550565741026,0.1028843536798355,0.10303949208292378,0.0982745894130865,0.10339324267997431,0.0907866050223673,0.1037842402042914,0.18070795846551216,0.0,0.19146813840206633,0.19443423128261134,0.18656781423890997,0.17859257718376756,0.18436857524225564,0.1697856536134658,0.18617981520966595
0.036683417085427134,0.08621562702769092,0.0,0.1008838607406949,0.10226314421238636,0.1026270183314242,0.09754309520685146,0.10237545811369567,0.08983794135495263,0.10300407214296262,0.17818640236480612,0.0,0.19060119979134066,0.19309989567031818,0.18538341158059468,0.17821726656233697,0.1834146235437315,0.16968396800556426,0.18504260128673275
