Gene,AUC_mean,AUC_std,AUC_aggregated,Bootstrap_freq,in_LASSO,in_RF,in_SVM_RFE,in_PPI_hub,in_WGCNA_hub,Qualified
BBS2,0.8984048063167587,0.03371449600409213,0.9359267734553776,0.5,True,True,True,False,True,True
CACHD1,0.9059346839351102,0.023627591309395818,0.9519450800915332,0.45666666666666667,True,True,True,False,True,True
DEPTOR,0.8557619183698637,0.047566337165566776,0.8352402745995423,0.5783333333333334,True,True,True,False,True,True
NDRG2,0.883795412611382,0.037431395285117186,0.9061784897025171,0.615,True,True,True,False,True,True
PHYHD1,0.9251040151174245,0.03226767039120158,0.9290617848970252,0.6766666666666667,True,True,True,False,True,True
