Gene,LASSO_coef,abs_coef
PHYHD1,-0.29157878425419786,0.29157878425419786
APOD,-0.227770354131132,0.227770354131132
CACHD1,-0.1624023284118224,0.1624023284118224
NDRG2,-0.13584556911336382,0.13584556911336382
SLC25A29,-0.055933058910089754,0.055933058910089754
DEPTOR,-0.03303997201565807,0.03303997201565807
BBS2,-0.010043364594170056,0.010043364594170056
