PC1,PC2,group,sample,var_PC1,var_PC2,dataset
-30.255498224413603,-7.2900006206605195,DFU,DW1,0.4558701599673312,0.1892618681944352,GSE199939
-26.955591630021562,-5.56222305763865,DFU,DW2,0.4558701599673312,0.1892618681944352,GSE199939
-33.41227632450567,-9.71168988380829,DFU,DW3,0.4558701599673312,0.1892618681944352,GSE199939
-18.850830092772558,14.0929052420264,DFU,DW4,0.4558701599673312,0.1892618681944352,GSE199939
-29.272107936534677,-8.42092514897392,DFU,DW5,0.4558701599673312,0.1892618681944352,GSE199939
-32.003362406656834,-8.082901292665925,DFU,DW6,0.4558701599673312,0.1892618681944352,GSE199939
-31.45399287635372,-7.2290587693743635,DFU,DW7,0.4558701599673312,0.1892618681944352,GSE199939
-33.21978891304425,-8.578593008930063,DFU,DW8,0.4558701599673312,0.1892618681944352,GSE199939
-32.18213356474966,-8.559695670271367,DFU,DW9,0.4558701599673312,0.1892618681944352,GSE199939
-30.202341862672462,-6.734211030654144,DFU,DW10,0.4558701599673312,0.1892618681944352,GSE199939
6.517849322818425,41.323795444031255,Control,N1,0.4558701599673312,0.1892618681944352,GSE199939
27.01046712772165,-15.021343618054447,Control,N2,0.4558701599673312,0.1892618681944352,GSE199939
46.80488724694905,-19.071634629896003,Control,N3,0.4558701599673312,0.1892618681944352,GSE199939
16.728166369442985,10.748055848796373,Control,N4,0.4558701599673312,0.1892618681944352,GSE199939
10.823155909765935,44.72575442040471,Control,N5,0.4558701599673312,0.1892618681944352,GSE199939
25.821614006178788,5.45075658002369,Control,N6,0.4558701599673312,0.1892618681944352,GSE199939
40.41539316164083,-22.004227019853428,Control,N7,0.4558701599673312,0.1892618681944352,GSE199939
10.920763981624829,43.28792589286144,Control,N8,0.4558701599673312,0.1892618681944352,GSE199939
43.33123072214911,-11.291986732052223,Control,N9,0.4558701599673312,0.1892618681944352,GSE199939
30.044971136439067,-7.910594244837901,Control,N10,0.4558701599673312,0.1892618681944352,GSE199939
39.3894248469943,-14.16010870047258,Control,N11,0.4558701599673312,0.1892618681944352,GSE199939
