PC1,PC2,PC3,batch,group,dataset,sample,var_PC1,var_PC2,var_PC3,stage
12.252282488138698,-13.67561393778425,-2.0120772088108323,1,Control,GSE134431,Sample02_DFS20,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
12.447797496164048,-16.724538814666264,2.9853666509147345,1,Control,GSE134431,Sample03_DFS21,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-12.420702587242381,7.4934969833548974,12.506152086639332,1,Control,GSE134431,Sample04_DFS31,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
5.519705093456525,-7.153571333747269,10.196990116869623,1,Control,GSE134431,Sample05_DFS32,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-12.987129581323497,-11.74456020772559,32.27350185862056,1,Control,GSE134431,Sample06_DFS34,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
10.137668220379396,-18.68093778462934,9.08789732676833,1,Control,GSE134431,Sample07_DFS37,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
5.776323854378615,-17.369520682755436,1.852399115545876,1,Control,GSE134431,Sample08_DFS39,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
17.120793914531937,21.560760972143264,-24.93875675459957,1,DFU,GSE134431,Sample09_UM#7W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-14.389015299570705,13.823536058693522,4.424611859738259,1,DFU,GSE134431,Sample10_UM#8W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-22.015341656738453,11.370875999747824,20.929165799418495,1,DFU,GSE134431,Sample11_UM#15W0,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
4.516624494085046,12.894232897364809,-20.60273053325329,1,DFU,GSE134431,Sample12_UM#23W0,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-17.40458223078538,18.578125398050364,7.314752251739371,1,DFU,GSE134431,Sample13_UM#24W0,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-17.469043593210294,4.365626501796467,-0.6060121191239602,1,DFU,GSE134431,Sample14_UM#30W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-31.380172010270215,-19.637744122494695,18.23427479772656,1,DFU,GSE134431,Sample15_P2#13,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
7.216716025905964,20.101592765127766,-18.473416965785542,1,DFU,GSE134431,Sample16_UM#27W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
7.8275002316215865,19.399263587324995,-18.431028010192705,1,DFU,GSE134431,Sample17_UM#28W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
4.799445761026086,20.353552815230124,-37.91423464914076,1,DFU,GSE134431,Sample18_UM#31W4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
2.8588755483437205,4.1769141799961576,-15.509505310062046,1,DFU,GSE134431,Sample19_P2#01,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-6.431746737793813,10.906672054956225,-17.64920453530635,1,DFU,GSE134431,Sample20_P2#03,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-18.93958093265598,-11.370105931871919,13.98072130880568,1,DFU,GSE134431,Sample22_P2#21,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
2.1393943556804516,-23.454586596010095,8.903163731798454,1,Control,GSE134431,Sample01_DFS11,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-35.203915406308845,7.298585421067131,0.35859189297803384,2,DFU,GSE199939,DW1,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-30.77610886533846,1.8081715746012852,7.037082462204822,2,DFU,GSE199939,DW2,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-39.978444520845876,9.74838566175772,-0.5337548494785567,2,DFU,GSE199939,DW3,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-21.931723051232915,-11.229950497844365,-0.25519906460601527,2,DFU,GSE199939,DW4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-31.736977805302157,5.284466992839393,-0.7882493172804924,2,DFU,GSE199939,DW5,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-34.622552636939034,5.590419018739837,-1.1447419540427355,2,DFU,GSE199939,DW6,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-36.21938193461485,6.695730426496568,-1.550566499043596,2,DFU,GSE199939,DW7,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-39.33299557522243,11.53596505603101,-0.7251696508313216,2,DFU,GSE199939,DW8,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-36.35768448102003,7.772034230973662,-2.7462742611232884,2,DFU,GSE199939,DW9,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
-32.05814610669779,3.866329264960687,-3.6923008574462957,2,DFU,GSE199939,DW10,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
10.852200406376063,-41.39104639206893,-17.711774010069675,2,Control,GSE199939,N1,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
35.38986318709456,16.61654620932647,16.33196386284575,2,Control,GSE199939,N2,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
63.43425413964914,18.17023435191855,7.477010331524587,2,Control,GSE199939,N3,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
21.11071691774241,-17.956462115805333,4.943474328882073,2,Control,GSE199939,N4,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
16.64728005887072,-44.86154401606508,-23.11709587072095,2,Control,GSE199939,N5,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
32.8857180950003,-11.783909523272362,8.607016526109318,2,Control,GSE199939,N6,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
53.420622788483236,28.875124921263264,15.874244416004107,2,Control,GSE199939,N7,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
15.795484909054709,-45.148342903708425,-18.948406703486405,2,Control,GSE199939,N8,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
56.44034017478488,10.712082675060131,9.770373851022459,2,Control,GSE199939,N9,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
40.18825133016773,3.1475189777390744,8.658393074802216,2,Control,GSE199939,N10,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
52.87738552217731,10.036189863888179,5.603351473445781,2,Control,GSE199939,N11,0.39905219106959444,0.16137492172284468,0.09993704116530268,limma
