PC1,PC2,PC3,batch,group,dataset,sample,var_PC1,var_PC2,var_PC3,stage
-42.18381848985266,3.784389822426169,-8.966718046195446,1,Control,GSE134431,Sample02_DFS20,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-39.72390306171573,4.7049920416629165,-9.793164425561242,1,Control,GSE134431,Sample03_DFS21,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-29.22660679394469,-4.134513277406661,6.418713888451292,1,Control,GSE134431,Sample04_DFS31,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-36.69587282382544,2.7468990797691624,-3.6423589973583104,1,Control,GSE134431,Sample05_DFS32,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-17.92604746370585,0.2349695848864449,-1.6927978241095747,1,Control,GSE134431,Sample06_DFS34,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-37.32664005753307,5.602801499004622,-9.697451256218322,1,Control,GSE134431,Sample07_DFS37,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-41.48740236962916,1.2815769274439748,-9.61163951668334,1,Control,GSE134431,Sample08_DFS39,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-50.091033760932476,4.963822040540843,6.383380515489261,1,DFU,GSE134431,Sample09_UM#7W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-31.99868232344908,-5.836085229987993,8.590365027509682,1,DFU,GSE134431,Sample10_UM#8W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-17.379221576309128,-3.543750274855201,12.515896390733465,1,DFU,GSE134431,Sample11_UM#15W0,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-49.070455858906,-1.9636198132937939,2.3117976461245617,1,DFU,GSE134431,Sample12_UM#23W0,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-31.830086663803886,-7.696543270221344,8.52098225219244,1,DFU,GSE134431,Sample13_UM#24W0,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-36.02014284091727,-8.970338519921492,1.0877089957539496,1,DFU,GSE134431,Sample14_UM#30W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-25.60085334586934,-12.8718887462774,-6.952666859721349,1,DFU,GSE134431,Sample15_P2#13,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-44.48259496447759,1.8001358009870008,7.1666648405579645,1,DFU,GSE134431,Sample16_UM#27W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-45.54344902340266,1.443082938507033,6.288677676717747,1,DFU,GSE134431,Sample17_UM#28W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-59.27297996331647,-5.25646274746668,1.974752222818257,1,DFU,GSE134431,Sample18_UM#31W4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
