gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
GSTM2,2.643288367827193,4.647571942110377,-2.0042835742831846,-12.5914588448263,43.614835533211945,4.440892098500626e-16,1.6990409079653546e-12,0.2721204630237031,0.2636321555128721,Down,Down,Down
APOD,3.136953048979104,7.553625161319227,-4.416672112340123,-12.909042588901313,43.614835533211945,2.220446049250313e-16,1.6990409079653546e-12,1.3126959577075858,1.217963847435913,Down,Down,Down
CFD,4.054061897948759,8.277820764554553,-4.223758866605794,-12.430774588393922,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,1.2944734631441928,1.201251649083573,Down,Down,Down
NDRG2,3.615584535294425,5.755167739101682,-2.1395832038072573,-12.345795283421445,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,0.3254063756997378,0.3125016853639783,Down,Down,Down
CACHD1,1.3679973371492575,2.8662732925512833,-1.4982759554020257,-12.441511865864854,43.614835533211945,6.661338147750939e-16,1.6990409079653546e-12,0.14919310518085216,0.1508931240892696,Down,Down,ns
PHYHD1,2.051472544380804,3.351511019429912,-1.3000384750491079,-12.295385841010361,43.614835533211945,8.881784197001252e-16,1.887823231072616e-12,0.11149728282940212,0.11632156430636471,Down,Down,ns
AMY2B,1.1447093435119988,3.2914499348178756,-2.1467405913058766,-12.236972714112753,43.614835533211945,1.1102230246251565e-15,2.022667747577803e-12,0.33381805798104336,0.32021620009592106,Down,Down,Down
BBS2,2.8355495295417543,4.087865499493214,-1.2523159699514594,-11.947092228310835,43.614835533211945,2.4424906541753444e-15,3.893635414087271e-12,0.10931866310076299,0.11432351047719903,Down,Down,ns
FAHD2B,1.4704452908832513,2.598351366781774,-1.1279060758985227,-11.82763717127035,43.614835533211945,3.3306690738754696e-15,4.7195580776815405e-12,0.0878343122706087,0.09461980134474633,Down,Down,ns
GFRA1,0.2226089456444723,2.7845723524424995,-2.5619634067980273,-11.669700372826016,43.614835533211945,5.329070518200751e-15,6.7961636318614184e-12,0.531469077481276,0.5014857310560686,Down,Down,Down
BOC,2.367371660024142,4.079493717332289,-1.712122057308147,-11.567054704262793,43.614835533211945,7.105427357601002e-15,7.787270828174542e-12,0.23322307442160314,0.22795861633606587,Down,Down,Down
NR3C2,0.435154887619354,1.8754771901547596,-1.4403223025354055,-11.551433435753964,43.614835533211945,7.327471962526033e-15,7.787270828174542e-12,0.1610455310263204,0.16176321056380677,Down,Down,ns
KYNU,3.5420596417855426,1.371418819337966,2.1706408224475764,11.449701136297023,43.614835533211945,9.769962616701378e-15,9.584333326984051e-12,0.3924136879468535,0.37395537324602096,Up,Up,Up
HLF,0.7079464110476441,2.835923788097927,-2.127977377050283,-11.426696657917942,43.614835533211945,1.0658141036401503e-14,9.708805188373454e-12,0.378122206793209,0.3608483824903073,Down,Down,Down
NFIX,3.542207513257825,5.5870145308389745,-2.0448070175811495,-11.3481985412474,43.614835533211945,1.3322676295501878e-14,1.1326939386435697e-11,0.35301068671365343,0.337818127053087,Down,Down,Down
PNPLA7,0.7570843556087957,2.752290847907672,-1.9952064922988764,-11.213157809815822,43.614835533211945,1.9761969838327786e-14,1.575152508426214e-11,0.34385527896235873,0.3294215274654783,Down,Down,Down
DEPTOR,1.226661666689827,2.414088159927169,-1.187426493237342,-11.186077869776115,43.614835533211945,2.1316282072803006e-14,1.599097325143863e-11,0.11250287738061912,0.11724381430586434,Down,Down,ns
