gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
OST4,7.874768463462389,7.230510503967983,0.6442579594944062,4.772232605671734,43.614835533211945,2.071294169403437e-05,0.00012028568397827841,0.19143137146027836,0.18963064609346242,Up,ns,ns
FUZ,2.1504514485512796,2.634359818052593,-0.48390836950131355,-4.772272880988469,43.614835533211945,2.0710223987974175e-05,0.00012028568397827841,0.10131293187046331,0.10698130121979765,ns,ns,ns
AMIGO3,1.0565546978054279,1.4727803380096192,-0.4162256402041913,-4.7720984240084565,43.614835533211945,2.072199856506529e-05,0.00012028568397827841,0.07097048610864473,0.07915366377408191,ns,ns,ns
SON,5.1305692668865115,5.489994324338657,-0.35942505745214515,-4.771205556329559,43.614835533211945,2.0782363882032584e-05,0.00012058120408897249,0.04904598783987975,0.05904628700585371,ns,ns,ns
AKAP9,2.541016886219761,3.2822104557551097,-0.7411935695353487,-4.771044650169398,43.614835533211945,2.079326087622846e-05,0.00012058956614576695,0.2584694824347243,0.2511125800775056,Down,ns,ns
TRMT11,1.6880135718472733,2.1261056813206394,-0.4380921094733661,-4.766390961527,43.614835533211945,2.111086613720836e-05,0.0001223758526580992,0.08050609094558828,0.08789894938194104,ns,ns,ns
FOXJ3,2.994485435132233,3.4011458511298542,-0.40666041599762126,-4.765787785588268,43.614835533211945,2.1152379719335812e-05,0.00012256078989581536,0.06726758174833526,0.0757576593503213,ns,ns,ns
TCIM,3.2388876358426266,2.4189064241888203,0.8199812116538063,4.7653857283187,43.614835533211945,2.118009592844139e-05,0.00012266565094251272,0.32056988004448883,0.30806604267852916,Up,ns,ns
PFDN2,5.555369029037093,4.873034673592616,0.6823343554444774,4.762218218175456,43.614835533211945,2.1399705030233918e-05,0.00012388127019998782,0.2175704990679314,0.2136033400523779,Up,ns,ns
FBXO36,1.0707047904432985,1.4213454631456877,-0.3506406727023892,-4.761037226223781,43.614835533211945,2.1482157578356365e-05,0.0001243021577117871,0.046199431259493474,0.056435655512614515,ns,ns,ns
OXSR1,3.9763184552186566,3.3698305657178884,0.6064878895007682,4.759527684675063,43.614835533211945,2.158800363116775e-05,0.00012485796385863145,0.1688777682971565,0.16894630519212148,Up,ns,ns
SPAG5,2.589045187074145,1.6753343780851644,0.9137108089889807,4.758873484032265,43.614835533211945,2.1634034143902525e-05,0.00012506746937315907,0.4028940392437347,0.38356710390487037,Up,ns,ns
EXOSC4,4.039378175128341,3.355836135858707,0.6835420392696343,4.757788738854579,43.614835533211945,2.1710571355137986e-05,0.00012539624841126574,0.2188310957289604,0.21475945736486352,Up,ns,ns
CRELD2,4.34816842202034,3.7094492665906444,0.6387191554296954,4.757927437881844,43.614835533211945,2.1700770221233512e-05,0.00012539624841126574,0.18911529848325798,0.18750653126078654,Up,ns,ns
RBBP8NL,0.2737014953514866,0.8520972050114168,-0.5783957096599303,-4.75640228131123,43.614835533211945,2.1808784792076708e-05,0.00012590648820885207,0.15242786338817374,0.15385978272069642,ns,ns,ns
PTS,4.095890924702531,3.40733608261826,0.6885548420842711,4.756060443580452,43.614835533211945,2.1833066897958275e-05,0.00012598387418621002,0.22245098005095051,0.21807932252334486,Up,ns,ns
DDX51,2.216637015257931,2.726655308339514,-0.5100182930815831,-4.7559355297407215,43.614835533211945,2.1841946665546175e-05,0.00012598387418621002,0.11513222985525136,0.11965524375869813,ns,ns,ns
STMN1,4.761290832455765,3.8043200877930126,0.956970744662752,4.754880939623596,43.614835533211945,2.1917056263420776e-05,0.00012635995412631337,0.44420480287006986,0.42145399548319834,Up,ns,ns
NR2C1,2.498341566949435,3.003012486917867,-0.504670919968432,-4.752099767608334,43.614835533211945,2.211635698623482e-05,0.0001274513785112755,0.1126170429283588,0.11734851771363274,ns,ns,ns
