p05,p25,p50,p75,p95,sample,group,dataset
0.5512840194474109,1.3248293022600233,2.057018697576311,2.9118463579238227,4.529976911996922,Sample02_DFS20,Control,GSE134431
0.5543524021949855,1.3631444381382667,2.0936058030836016,2.9488572758684164,4.559088416529264,Sample03_DFS21,Control,GSE134431
0.6116459121380937,1.4574905435630343,2.3820059230786894,3.395700334140297,5.462578656426205,Sample04_DFS31,Control,GSE134431
0.4909259322431437,1.238339004318524,2.07535460711547,3.1525870368858486,5.023886135696447,Sample05_DFS32,Control,GSE134431
0.7735420934712448,1.69633217873808,2.611867579017284,3.6278460984982113,5.572871696719993,Sample06_DFS34,Control,GSE134431
0.5886530945114647,1.305162151215411,2.023356496197782,2.92297273948973,4.686025797744874,Sample07_DFS37,Control,GSE134431
0.5531251704276303,1.2447409559869063,1.9422967891233986,2.7449602640440034,4.329580723289053,Sample08_DFS39,Control,GSE134431
0.2002978058704419,0.9300249906074008,2.0065547480821246,3.2853874170967994,5.536390193477227,Sample09_UM#7W4,DFU,GSE134431
0.5266634910838328,1.3006435868653654,2.1806300581681795,3.238544221845175,5.345216245469656,Sample10_UM#8W4,DFU,GSE134431
0.49435272947090675,1.5320438559097669,2.4364963262177746,3.5318867042062685,5.872807481320584,Sample11_UM#15W0,DFU,GSE134431
0.33191096275613474,1.034993911095715,1.8658574624130484,2.901873806774426,4.896238178827251,Sample12_UM#23W0,DFU,GSE134431
0.31904813206407506,1.3068309108460574,2.368424660946144,3.534827327872986,5.665755219227465,Sample13_UM#24W0,DFU,GSE134431
0.5296572566640977,1.2836003134994636,2.1036503565939073,3.0563312078456013,4.932490800969996,Sample14_UM#30W4,DFU,GSE134431
0.5593768811409676,1.3424580315723258,2.0777727917594913,2.931424936741192,4.640561071371456,Sample15_P2#13,DFU,GSE134431
0.30216083747854716,1.045030511025208,2.0378706348505835,3.2228597760150315,5.452532635139968,Sample16_UM#27W4,DFU,GSE134431
0.3042051179660901,1.0566060627950493,2.048087930759443,3.2066221224220604,5.367527020633917,Sample17_UM#28W4,DFU,GSE134431
0.11518674223934408,0.6082339396996767,1.4186055563473463,2.6288429874119466,4.954827303351966,Sample18_UM#31W4,DFU,GSE134431
0.37952530936437984,1.1575320495452583,1.9811128536482507,2.946786526298921,4.7948818725375855,Sample19_P2#01,DFU,GSE134431
0.32260634711024894,1.0798098706824724,1.9284006236667004,2.947964388145734,4.9101969654838875,Sample20_P2#03,DFU,GSE134431
0.5994060676918199,1.2745837152159079,2.0281076217036462,2.9390793850368295,4.713129941928878,Sample22_P2#21,DFU,GSE134431
0.6244317467755938,1.413709155585529,2.137544508813951,2.9498019702383265,4.639340991931149,Sample01_DFS11,Control,GSE134431
0.0,1.1953475983222193,2.9250496520984823,4.587514990423015,6.935400809369369,DW1,DFU,GSE199939
0.0,1.1634987322828796,2.8318772411916733,4.459431618637297,6.881297536911116,DW2,DFU,GSE199939
0.0,0.8875252707415875,2.526068811667588,4.295723024539968,6.9528868116330145,DW3,DFU,GSE199939
0.0,1.1634987322828796,2.835924074254375,4.41006969175638,6.82486329052252,DW4,DFU,GSE199939
0.0,1.0285691521967708,2.673556423990145,4.336640313930396,6.863845473385777,DW5,DFU,GSE199939
0.0,0.9411063109464314,2.6507645591169022,4.339137384919585,6.8948167861538,DW6,DFU,GSE199939
0.0,1.070389327891398,2.761285273361619,4.4269356196483365,6.875964315309594,DW7,DFU,GSE199939
0.0,0.9927684307689242,2.704871964456353,4.447579196548882,6.987349291177345,DW8,DFU,GSE199939
0.0,0.9486008474933558,2.720278465233327,4.46548475131143,7.003546017561068,DW9,DFU,GSE199939
0.0,1.1176950426697545,2.8629469072844205,4.501598347880602,6.9142953156656715,DW10,DFU,GSE199939
0.0,1.2203299548795556,2.765534746362977,4.344828496997441,6.7872489703181245,N1,Control,GSE199939
0.22650852980867975,1.4489009511451278,3.0089887832272546,4.542258049766918,6.804968679415256,N2,Control,GSE199939
0.3103401206121505,1.6276068381296498,3.10936055940423,4.525442506018121,6.617430726050325,N3,Control,GSE199939
0.21412480535284734,1.4750848829487828,2.9523335663696857,4.507794640198696,6.791455867842936,N4,Control,GSE199939
0.0,1.3045110418099528,2.8659188145522125,4.375734538583156,6.648321433060263,N5,Control,GSE199939
0.32192809488736235,1.6915341649192002,3.2479275134435857,4.705977901682522,6.830293020489834,N6,Control,GSE199939
0.29865831556451516,1.5801454844233804,3.127633279725874,4.639376866866152,6.824895046873484,N7,Control,GSE199939
0.04264433740849372,1.3561438102252754,2.929790997718597,4.451705637114929,6.7502044906081675,N8,Control,GSE199939
0.3103401206121505,1.607624762923858,3.1127001327493624,4.516803091638117,6.677296765431201,N9,Control,GSE199939
0.3645642517927159,1.565597175854225,2.969012307516316,4.392317422778761,6.634811000876288,N10,Control,GSE199939
0.19848385197474208,1.3840498067951599,2.769771739249448,4.273515889702116,6.603551476808465,N11,Control,GSE199939
0.706891039076923,1.5327118335384615,3.0810262503076924,4.773888406538462,7.041128287153847,GSM4448287,Control,GSE147890
0.7124843344615386,1.5491992698461539,3.067779190384615,4.773888406538462,7.084798311615385,GSM4448288,Control,GSE147890
0.7078860386153847,1.5625236843076924,3.079328992769231,4.771024540615384,7.073628710153846,GSM4448289,Control,GSE147890
0.701681520923077,1.5475818556153849,3.086150156307693,4.783199289692308,7.046375375,GSM4448290,Control,GSE147890
0.7003898698461538,1.5519123163076924,3.085692520461539,4.774782096923077,7.056534223307692,GSM4448291,Control,GSE147890
0.7020016463076924,1.5490843417692308,3.0919114811538466,4.776013694461538,7.084060112769231,GSM4448292,Control,GSE147890
0.7087406030769231,1.5551269006923079,3.0830846188461534,4.774782096923077,7.069140491307692,GSM4448293,Control,GSE147890
0.7023910546153845,1.5475818556153849,3.075758704384616,4.773888406538462,7.09758194723077,GSM4448300,DFU,GSE147890
0.7023910546153845,1.5408269617692307,3.067779190384615,4.774329838923077,7.098856962615384,GSM4448301,DFU,GSE147890
0.7037932687692308,1.550498624692308,3.069709121153846,4.760629666461538,7.05854279453846,GSM4448302,DFU,GSE147890
0.6840253102307692,1.5503267936923077,3.0806024696153846,4.772095410307693,7.06384806753846,GSM4448303,DFU,GSE147890
0.708581564923077,1.5434711600000002,3.076860331846154,4.767991319,7.087920052076923,GSM4448304,DFU,GSE147890
0.7080124313076923,1.555563533,3.0766041391538463,4.773015589615385,7.051274426846155,GSM4448305,DFU,GSE147890
3.9002054583333328,5.583926458333334,6.620087083333333,7.744081666666667,9.508503083333332,GSM2114231,DFU,GSE80178
3.8143490833333336,5.249353749999999,6.154102916666666,7.189319791666666,9.035027999999999,GSM2114232,DFU,GSE80178
3.9860010833333326,5.559365,6.579615833333333,7.721624791666666,9.60196425,GSM2114233,DFU,GSE80178
3.9058458750000002,5.609466875,6.6658195833333345,7.806610000000001,9.549954416666665,GSM2114234,DFU,GSE80178
3.905448458333333,5.49923625,6.519297083333334,7.666418750000001,9.573598291666665,GSM2114235,DFU,GSE80178
3.9038481249999997,5.519123333333333,6.54562625,7.693877291666667,9.583779875,GSM2114236,DFU,GSE80178
3.8024360833333333,5.495444375,6.5548762499999995,7.699677291666667,9.527442624999999,GSM2114237,Control,GSE80178
3.8486951250000003,5.509071875,6.555336666666667,7.694958333333333,9.491583125,GSM2114238,Control,GSE80178
3.847895916666667,5.524012916666667,6.566895000000001,7.706331875,9.517479958333334,GSM2114239,Control,GSE80178
3.8504316666666663,5.528077708333334,6.571888750000001,7.697723958333334,9.5271895,GSM2114240,Control,GSE80178
3.8246992916666667,5.5458341666666655,6.588922500000001,7.7156150000000014,9.540896666666665,GSM2114241,Control,GSE80178
3.817758541666667,5.5037325,6.5794049999999995,7.7116325,9.572776625,GSM2114242,Control,GSE80178
