PC1,PC2,PC3,batch,group,dataset,sample,var_PC1,var_PC2,var_PC3,stage
12.646380485521082,-13.69667262953304,-1.0706394652973183,1,Control,GSE134431,Sample02_DFS20,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
13.02374933827754,-16.960741614421515,3.6579455413809057,1,Control,GSE134431,Sample03_DFS21,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-12.52246634970924,8.245001185015314,11.752058839048525,1,Control,GSE134431,Sample04_DFS31,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
6.026059527434435,-6.81857514055508,9.808443698309658,1,Control,GSE134431,Sample05_DFS32,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-12.42574527274116,-12.344686372198307,30.14140220777449,1,Control,GSE134431,Sample06_DFS34,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
10.658696853331596,-18.964811319289506,8.775555048351489,1,Control,GSE134431,Sample07_DFS37,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
6.16419596547669,-17.904931743265873,2.197344557381544,1,Control,GSE134431,Sample08_DFS39,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
18.186052678409226,24.62496781947739,-20.872026082390903,1,DFU,GSE134431,Sample09_UM#7W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-13.41983957337945,15.466561198651757,4.5265027917804765,1,DFU,GSE134431,Sample10_UM#8W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-21.06440015281742,12.456933552295318,20.431860878083132,1,DFU,GSE134431,Sample11_UM#15W0,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
5.568650231549698,14.877454714866623,-18.387082035287843,1,DFU,GSE134431,Sample12_UM#23W0,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-16.460727168274225,20.244241409537317,6.877066092028228,1,DFU,GSE134431,Sample13_UM#24W0,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-16.542502070346217,5.178919709084743,-1.3950120081443922,1,DFU,GSE134431,Sample14_UM#30W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-30.76629041517257,-20.849384645127806,15.407028874824228,1,DFU,GSE134431,Sample15_P2#13,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
8.37561743235406,22.798731586139564,-15.915330065240836,1,DFU,GSE134431,Sample16_UM#27W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
9.068618285251114,22.039955985782758,-15.881121413618587,1,DFU,GSE134431,Sample17_UM#28W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
5.519924602054209,23.04530712705105,-35.40673178696436,1,DFU,GSE134431,Sample18_UM#31W4,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
3.8495532332757647,5.685731069732842,-13.68591144274422,1,DFU,GSE134431,Sample19_P2#01,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-5.3916508301795565,12.540633397593428,-16.608509177568404,1,DFU,GSE134431,Sample20_P2#03,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-17.70264130827705,-11.650938555650217,12.054762806226105,1,DFU,GSE134431,Sample22_P2#21,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
2.6986315929115414,-24.38204918206159,8.254376087658075,1,Control,GSE134431,Sample01_DFS11,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-37.05274014568127,5.42216327842214,0.16594917451757152,2,DFU,GSE199939,DW1,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
-32.784190474243864,-0.09673538729341898,7.138386237360287,2,DFU,GSE199939,DW2,0.40821370132258256,0.16195526327332832,0.09010388272490019,combat
